omm_id,nombre,elev,lat_dec,lon_dec,fecha_desde,fecha_hasta,valor
87118,Famaillá INTA,363.0,-27.05,-65.42,2024-03-21,2024-04-20,
87131,La María INTA,169.0,-28.23,-64.15,2024-03-21,2024-04-20,
87144,Las Breñas INTA,102.0,-27.08,-61.12,2024-03-21,2024-04-20,
87147,Pres. Roque Sáenz Peña INTA,90.0,-26.87,-60.45,2024-03-21,2024-04-20,
87158,Colonia Benítez INTA,54.0,-27.42,-58.93,2024-03-21,2024-04-20,
87180,Cerro Azul INTA,270.0,-27.65,-55.43,2024-03-21,2024-04-20,
87276,Bella Vista INTA,70.0,-28.43,-58.92,2024-03-21,2024-04-20,
87283,Mercedes INTA (Ctes.),100.0,-29.17,-58.02,2024-03-21,2024-04-20,
87359,Rafaela INTA,100.0,-31.18,-61.55,2024-03-21,2024-04-20,
87016,Orán Aero,357.0,-23.154692,-64.328145,2024-03-21,2024-04-20,108.6
87022,Tartagal Aero,450.0,-22.616578,-63.79653,2024-03-21,2024-04-20,54.6
87043,Jujuy Univ. Nac.,1302.0,-24.178606,-65.326328,2024-03-21,2024-04-20,82.9
87046,Jujuy Aero,905.0,-24.383964,-65.095506,2024-03-21,2024-04-20,98.9
87047,Salta Aero,1221.0,-24.844345,-65.475748,2024-03-21,2024-04-20,57.6
87050,Metán,855.0,-25.524295,-64.972951,2024-03-21,2024-04-20,87.0
87065,Rivadavia,205.0,-24.18532,-62.886631,2024-03-21,2024-04-20,189.0
87078,Las Lomitas,130.0,-24.702449,-60.594107,2024-03-21,2024-04-20,175.5
87097,Iguazú Aero,270.0,-25.73087,-54.477454,2024-03-21,2024-04-20,109.0
87129,Santiago del Estero Aero,199.0,-27.754814,-64.299802,2024-03-21,2024-04-20,39.4
87148,Pres. Roque Sáenz Peña Aero,93.0,-26.746374,-60.486783,2024-03-21,2024-04-20,156.1
87155,Resistencia Aero,52.0,-27.438882,-59.04602,2024-03-21,2024-04-20,267.2
87162,Formosa Aero,60.0,-26.212423,-58.229292,2024-03-21,2024-04-20,234.5
87163,Bernardo de Irigoyen Aero,815.0,-26.27788,-53.671276,2024-03-21,2024-04-20,200.3
87166,Corrientes Aero,62.0,-27.449794,-58.759744,2024-03-21,2024-04-20,307.5
87173,Ituzaingó,72.0,-27.585649,-56.677247,2024-03-21,2024-04-20,262.0
87178,Posadas Aero,125.0,-27.391,-55.967048,2024-03-21,2024-04-20,248.2
87187,Oberá Aero,303.0,-27.48372,-55.131714,2024-03-21,2024-04-20,
87211,Tinogasta,1201.0,-28.067251,-67.56526,2024-03-21,2024-04-20,2.0
87213,Chilecito Aero,945.0,-29.218362,-67.442488,2024-03-21,2024-04-20,10.5
87217,La Rioja Aero,429.0,-29.382465,-66.793303,2024-03-21,2024-04-20,18.1
87222,Catamarca Aero,454.0,-28.593482,-65.755284,2024-03-21,2024-04-20,31.5
87244,Villa María del Río Seco,341.0,-29.905806,-63.727586,2024-03-21,2024-04-20,168.2
87257,Ceres Aero,88.0,-29.875559,-61.936045,2024-03-21,2024-04-20,179.70000000000002
87270,Reconquista Aero,53.0,-29.205082,-59.693383,2024-03-21,2024-04-20,71.0
87281,Mercedes Aero (Ctes.),107.0,-29.225988,-58.085678,2024-03-21,2024-04-20,187.5
87289,Paso de los Libres Aero,70.0,-29.689311,-57.148494,2024-03-21,2024-04-20,240.3
87305,Jáchal,1175.0,-30.229382,-68.739003,2024-03-21,2024-04-20,
87311,San Juan Aero,598.0,-31.574619,-68.422402,2024-03-21,2024-04-20,25.5
87320,Chamical Aero,461.0,-30.347763,-66.296717,2024-03-21,2024-04-20,37.5
87322,Chepes,658.0,-31.331643,-66.588575,2024-03-21,2024-04-20,8.0
